ClienteID,NombreCliente,Edad,Ciudad,ProductoID,NombreProducto,CategoríaProducto,FechaCompra,Cantidad,PrecioUnitario
C00020,Pamela López Nieto,38,San Ángel los altos,P211,Pantoprazol,Antiácido,02/05/2025,2,118.33
C00021,Dr. Anel Delgado,76,Vieja Letonia,P296,Metformina,Antidiabético,26/12/2024,2,67.3
C00022,Ing. María Eugenia Casas,20,San Carlos de la Montaña,P380,Loratadina,Antihistamínico,01/01/2025,1,112.33
C00023,Victoria Carmen Peña,21,San Octavio los altos,P294,Glibenclamida,Antidiabético,25/01/2025,5,193.73
C00024,Silvia Sepúlveda Loera,19,San Diego los altos,P324,Loratadina,Antihistamínico,27/02/2025,2,73.05
C00025,Sara Toro,52,San Linda los altos,P037,Sitagliptina,Antidiabético,05/06/2024,2,54.14
C00026,José Estela García,61,Nueva Australia,P421,Pioglitazona,Antidiabético,04/11/2024,4,92.88
C00027,Delia Octavio Riojas,42,San Renato de la Montaña,P378,Cefalexina,Antibiótico,23/09/2024,2,134.73
C00028,Luis Manuel Osorio Amaya,23,San José Eduardo de la Montaña,P335,Cefalexina,Antibiótico,08/03/2025,5,68.83
C00029,Mtro. Ruby Salcido,36,Vieja Mauritania,P388,Ciprofloxacino,Antibiótico,29/03/2025,2,11.68
C00030,Humberto Vanegas,84,Nueva Colombia,P228,Paracetamol,Analgésico,05/10/2024,2,182.17
C00031,Oswaldo Galván,25,San Elisa los altos,P106,Diclofenaco,Analgésico,31/03/2025,4,186.88
C00032,Cristobal Concepción Zedillo Gallardo,40,Nueva Vietman,P062,Loratadina,Antihistamínico,05/06/2024,1,126.05
C00033,José Luis Armando Quezada,30,San Mauro los altos,P217,Azitromicina,Antibiótico,29/09/2024,1,43.98
C00034,Timoteo Carlota Vargas Escobedo,63,Nueva Lituania,P056,Lansoprazol,Antiácido,24/04/2025,1,89.15
C00035,Inés Balderas,74,San Marcela los bajos,P184,Azitromicina,Antibiótico,13/03/2025,4,103.7
C00036,Dr. María del Carmen de la Rosa,47,Vieja Angola,P141,Glibenclamida,Antidiabético,23/08/2024,5,53.41
C00037,Isaac Báez Marroquín,40,San Eric de la Montaña,P108,Paracetamol,Analgésico,22/01/2025,2,23.89
C00038,Emiliano Julio Martínez Merino,21,Vieja Malta,P398,Magnesio,Suplemento,03/05/2025,3,148.49
C00039,Javier Ortiz,73,San Martín los altos,P254,Pioglitazona,Antidiabético,13/01/2025,2,17.47
C00040,Reina Luisa Campos,37,Vieja Bhután,P306,Loratadina,Antihistamínico,31/08/2024,2,164.82
C00041,Dr. Hilda Mena,40,San Norma los bajos,P158,Ibuprofeno,Analgésico,02/12/2024,5,52.27
C00042,Aurelio Guillermina León,31,Nueva Guyana,P268,Sitagliptina,Antidiabético,30/04/2025,5,103.59
C00043,Micaela Campos,32,Vieja Bolivia,P338,Vitamina C,Suplemento,03/07/2024,5,116.18
C00044,Lic. Anel Bueno,24,San Nicolás los bajos,P061,Lansoprazol,Antiácido,11/09/2024,5,83.36
C00045,Dr. Marcela Esquibel,64,Nueva Arabia Saudita,P481,Cetirizina,Antihistamínico,05/09/2024,4,28.11
C00046,Alta  Gracia Cristina Morales,42,Nueva Jordania,P211,Desloratadina,Antihistamínico,23/03/2025,4,128.19
C00047,Natalia Ulibarri,48,Nueva Benin,P029,Loratadina,Antihistamínico,30/08/2024,1,64.05
C00048,Rafaél Velásquez Abreu,78,Nueva Bahrein,P129,Ranitidina,Antiácido,25/12/2024,4,184.31
C00049,Dr. Amelia Ocampo,44,Nueva Armenia,P470,Cefalexina,Antibiótico,25/06/2024,1,16.93
C00050,Adriana Cornelio Mesa,85,Vieja Burundi,P252,Vitamina D,Suplemento,21/10/2024,2,143.59
C00051,Jaqueline Diego Montez Hidalgo,27,San Delia los altos,P031,Calcio,Suplemento,11/12/2024,5,172.92
C00052,Abel Madrid Varela,70,Vieja Italia,P091,Omeprazol,Antiácido,13/09/2024,2,174.29
C00053,Lic. Olivia de la Crúz,79,Nueva Croacia,P260,Vitamina D,Suplemento,30/04/2025,3,156.23
C00054,Mtro. Clemente Nevárez,26,Nueva Burundi,P061,Diclofenaco,Analgésico,19/09/2024,4,104.56
C00055,Tomás Elisa Leyva Saavedra,44,Vieja Chipre,P353,Ciprofloxacino,Antibiótico,16/04/2025,5,78.88
C00056,Héctor Esteban Cano,27,Vieja Tuvalu,P107,Cetirizina,Antihistamínico,26/04/2025,2,126.97
C00057,María José Octavio Fonseca,42,Nueva Austria,P432,Paracetamol,Analgésico,09/02/2025,3,41.55
C00058,Dolores Olmos,20,Nueva Suriname,P242,Diclofenaco,Analgésico,23/07/2024,1,83.18
C00059,Mtro. Fidel Menchaca,52,San Sofía de la Montaña,P417,Metformina,Antidiabético,14/06/2024,1,147.58
C00060,Silvano Marrero Pelayo,70,San Asunción los altos,P167,Naproxeno,Analgésico,16/07/2024,4,92.11
C00061,Lucas Ulibarri Corral,48,San Francisca los bajos,P024,Loratadina,Antihistamínico,21/04/2025,1,169.46
C00062,Sr(a). Esparta Fuentes,67,Nueva Omán,P414,Amoxicilina,Antibiótico,20/08/2024,2,46.29
C00063,Rodrigo Yuridia Barajas,48,Vieja Lituania,P238,Omeprazol,Antiácido,09/10/2024,3,63.91
C00064,Gabriel Delia Narváez Zelaya,70,San Claudia los altos,P033,Vitamina D,Suplemento,11/04/2025,1,30.8
C00065,Rosa Francisco Corona,64,Nueva Marruecos,P453,Cetirizina,Antihistamínico,12/05/2025,5,148.06
C00066,Sr(a). Ignacio Alemán,20,Nueva Andorra,P270,Vitamina C,Suplemento,08/10/2024,5,151.95
C00067,Mtro. Serafín Carrión,51,Vieja Islas Marshall,P007,Glibenclamida,Antidiabético,15/01/2025,3,187.54
C00068,Sr(a). María del Carmen Munguía,75,San Antonio los altos,P135,Amoxicilina,Antibiótico,21/02/2025,1,79.98
C00069,Jorge Luis Diego Canales Colunga,85,Nueva Singapur,P275,Fexofenadina,Antihistamínico,07/09/2024,3,92.03
C00070,Lic. Benito Frías,38,San Gabino los bajos,P302,Pioglitazona,Antidiabético,03/03/2025,4,79.82
C00071,Bernabé Valle,85,Nueva Guatemala,P244,Fexofenadina,Antihistamínico,09/02/2025,3,72.92
C00072,Bruno Flores Abreu,86,San Germán los bajos,P368,Sitagliptina,Antidiabético,01/02/2025,4,40.47
C00073,Benito Reynoso,33,San Carmen los bajos,P172,Glibenclamida,Antidiabético,14/10/2024,1,10.12
C00074,Lic. Renato Almaraz,84,San Susana los altos,P387,Vitamina C,Suplemento,28/09/2024,2,158.14
C00075,René Ayala Osorio,26,Vieja El Salvador,P076,Desloratadina,Antihistamínico,01/07/2024,3,41.08
C00076,Sofía Sáenz León,28,San José Eduardo los altos,P408,Desloratadina,Antihistamínico,06/08/2024,2,133.68
C00077,Ramón Mónica Castañeda,38,Vieja Emiratos Árabes Unidos,P452,Ciprofloxacino,Antibiótico,08/01/2025,2,36.94
C00078,Isabela Melgar,51,San Socorro los altos,P228,Azitromicina,Antibiótico,18/04/2025,1,34.19
C00079,Marcela Aida Valverde Godínez,53,Nueva Guatemala,P306,Ciprofloxacino,Antibiótico,15/06/2024,1,157.54
C00080,Mauro Gil,23,Vieja Eslovenia,P117,Ciprofloxacino,Antibiótico,06/05/2025,5,99.92
C00081,Gerardo Verduzco Ceballos,78,Vieja Bhután,P479,Lansoprazol,Antiácido,16/11/2024,5,102.21
C00082,Jacinto Irma Rodarte,55,Nueva Niger,P337,Fexofenadina,Antihistamínico,10/02/2025,3,79.17
C00083,Jonás Sessa Saldaña,46,Nueva Dominicana,P029,Ciprofloxacino,Antibiótico,16/11/2024,3,112.79
C00084,Sr(a). Gloria Marroquín,37,San Judith de la Montaña,P410,Ibuprofeno,Analgésico,29/01/2025,2,22.29
C00085,Dr. Aida Téllez,35,Vieja Ecuador,P499,Pantoprazol,Antiácido,01/05/2025,2,182.16
C00086,Abelardo Cecilia Santana,32,San Israel de la Montaña,P047,Fexofenadina,Antihistamínico,06/10/2024,5,109
C00087,Dr. Bianca Marrero,23,San Elena los altos,P268,Azitromicina,Antibiótico,10/12/2024,4,14.47
C00088,Amanda Araceli Posada Tirado,52,Vieja Samoa,P353,Pantoprazol,Antiácido,30/06/2024,2,78.95
C00089,María del Carmen Girón Arroyo,48,Vieja Reino Unido de Gran Bretaña e Irlanda del Norte,P130,Naproxeno,Analgésico,10/06/2024,4,190.04
C00090,Elias Daniela Santiago Sandoval,22,Vieja Sudán del Sur,P361,Pantoprazol,Antiácido,01/04/2025,3,195.31
C00091,María Elena Salma Archuleta,51,Vieja Chile,P168,Calcio,Suplemento,20/11/2024,2,33.48
C00092,Ilse Ivonne Medina Castro,81,Nueva Tailandia,P374,Fexofenadina,Antihistamínico,05/05/2025,2,147.72
C00093,Hugo José Girón Duarte,35,San Sergio de la Montaña,P428,Omeprazol,Antiácido,20/10/2024,1,151.13
C00094,Anabel Carolina Olivera Sauceda,32,San Isabela los bajos,P088,Ranitidina,Antiácido,19/09/2024,4,154.77
C00095,Lic. Camilo Montoya,46,San Yolanda los altos,P314,Lansoprazol,Antiácido,13/04/2025,3,122.39
C00096,Daniel Felipe Lozada,56,Nueva Antigua y Barbuda,P141,Amoxicilina,Antibiótico,29/05/2025,3,72.63
C00097,Ángel Uriel Ponce Otero,68,Nueva Cabo Verde,P185,Ciprofloxacino,Antibiótico,02/12/2024,2,193.64
C00098,Mauro Rosas,79,San Luis Miguel de la Montaña,P440,Desloratadina,Antihistamínico,23/03/2025,4,98.43
C00099,Lic. Sonia Hidalgo,25,San Pedro los altos,P039,Magnesio,Suplemento,22/12/2024,3,145.44
C00100,Rebeca Ofelia Jurado Urrutia,34,San Camila los altos,P102,Magnesio,Suplemento,06/02/2025,4,143.2
C00101,Darío Gómez,26,Vieja Turquía,P258,Azitromicina,Antibiótico,18/04/2025,4,117.99
C00102,Micaela Jerónimo Hinojosa,85,San Rosario de la Montaña,P204,Cetirizina,Antihistamínico,24/07/2024,2,59.03
C00103,René Ledesma,60,San Yolanda los altos,P258,Lansoprazol,Antiácido,17/04/2025,1,52.08
C00104,Mtro. Alejandra Mojica,26,Nueva Azerbaiyán,P025,Ibuprofeno,Analgésico,02/07/2024,4,160.23
C00105,Dulce Gabriel Mesa Alfaro,18,Vieja Canadá,P356,Magnesio,Suplemento,17/03/2025,3,135.02
C00106,Sr(a). Graciela Melgar,59,San Paulina los bajos,P467,Diclofenaco,Analgésico,22/06/2024,3,159.94
C00107,Dr. Leonardo Bernal,28,Vieja Ucrania,P242,Loratadina,Antihistamínico,22/02/2025,4,130.45
C00108,Luisa Alberto Arevalo,39,Nueva Kenya,P317,Calcio,Suplemento,26/07/2024,1,99.16
C00109,Joaquín Zamora Archuleta,81,San Clemente de la Montaña,P087,Diclofenaco,Analgésico,27/11/2024,5,16.07
C00110,Esther Cynthia de Jesús Villareal,62,San Alta  Gracia los altos,P200,Ciprofloxacino,Antibiótico,07/09/2024,3,120.32
C00111,Minerva Mario Camacho,74,San Ramón los bajos,P492,Cetirizina,Antihistamínico,11/01/2025,1,91.11
C00112,Ing. Alonso Juárez,28,San Patricio los altos,P219,Vitamina D,Suplemento,20/02/2025,3,46.74
C00113,Francisco Gómez,85,Nueva Santo Tomé y Príncipe,P429,Ibuprofeno,Analgésico,18/10/2024,2,191.28
C00114,Jacobo Jacinto Sotelo,42,San Darío los bajos,P075,Ciprofloxacino,Antibiótico,24/02/2025,3,63.86
C00115,Arturo Cornelio Linares,89,San Ofelia los altos,P170,Amoxicilina,Antibiótico,01/02/2025,5,37.24
C00116,Cecilia León Rivero,76,San Judith los bajos,P175,Sitagliptina,Antidiabético,18/04/2025,1,115.8
C00117,Micaela Caballero,46,San Nayeli los bajos,P323,Pantoprazol,Antiácido,14/01/2025,2,45.3
C00118,Mauricio Blanca Girón Pedroza,76,Nueva Guatemala,P186,Ciprofloxacino,Antibiótico,22/11/2024,2,147.37
C00119,Gustavo Daniela Saiz,18,San Abril los bajos,P256,Fexofenadina,Antihistamínico,09/03/2025,2,28.07
C00120,Francisca Susana Roybal,53,San José Manuél los altos,P145,Cetirizina,Antihistamínico,03/12/2024,3,100.8
C00121,Lic. Elvia de la O,74,San Diana los altos,P472,Vitamina D,Suplemento,20/08/2024,2,26.52
C00122,Hilda Enrique Palomo,21,San Evelio los bajos,P325,Ibuprofeno,Analgésico,16/09/2024,5,199.12
C00123,María Teresa Grijalva Rodríquez,86,Nueva México,P263,Vitamina D,Suplemento,20/07/2024,5,129.18
C00124,Alta  Gracia Aparicio Ruiz,67,Nueva Fiji,P285,Paracetamol,Analgésico,14/05/2025,2,70.43
C00125,Óscar Juana Aparicio Molina,49,San Dolores de la Montaña,P137,Glibenclamida,Antidiabético,19/03/2025,5,178.05
C00126,Jaime Vallejo Ibarra,18,San Israel de la Montaña,P120,Diclofenaco,Analgésico,22/11/2024,3,13.59
C00127,Marisol Ballesteros,85,San Francisca los bajos,P058,Vitamina C,Suplemento,14/11/2024,2,18.25
C00128,Dolores Violeta Guzmán,81,Vieja Iraq,P194,Pantoprazol,Antiácido,24/09/2024,2,27.96
C00129,Aurelio Úrsula Ibarra,69,San Lorenzo de la Montaña,P282,Amoxicilina,Antibiótico,13/08/2024,2,87.65
C00130,Raúl Orta,54,San Arcelia de la Montaña,P242,Paracetamol,Analgésico,10/02/2025,5,82.19
C00131,Zacarías Eloy Torres Abrego,72,Vieja Polonia,P301,Pioglitazona,Antidiabético,22/10/2024,1,57.62
C00132,Patricia Alejandro Razo Ureña,78,Nueva Gambia,P158,Loratadina,Antihistamínico,29/06/2024,5,111.54
C00133,Irma Rojo Razo,50,San Aurora los altos,P311,Diclofenaco,Analgésico,10/11/2024,3,58.43
C00134,Dr. Zacarías Campos,58,San Tomás de la Montaña,P418,Diclofenaco,Analgésico,04/11/2024,3,62.07
C00135,Trinidad Yeni Lugo Ocampo,69,San Andrea de la Montaña,P238,Metformina,Antidiabético,02/02/2025,2,65.09
C00136,Graciela Samuel Garica Almonte,41,Vieja Azerbaiyán,P235,Cefalexina,Antibiótico,13/05/2025,2,128.49
C00137,Lic. Gloria Ocasio,35,Nueva Comoras,P439,Ranitidina,Antiácido,24/06/2024,2,126.57
C00138,Elias Isabel Acuña,34,Vieja Egipto,P312,Diclofenaco,Analgésico,08/03/2025,1,97.61
C00139,Patricia Loera Verdugo,66,Vieja Papua Nueva Guinea,P325,Ranitidina,Antiácido,11/08/2024,3,164.24
C00140,Óscar Gabino Hidalgo Montenegro,65,Nueva Paraguay,P135,Diclofenaco,Analgésico,22/04/2025,3,68.09
C00141,Bernardo Vélez,86,Nueva Sri Lanka,P124,Fexofenadina,Antihistamínico,24/12/2024,3,193.95
C00142,Graciela Cristian Chapa,32,Vieja Namibia,P263,Cetirizina,Antihistamínico,10/04/2025,5,84.91
C00143,Sr(a). Caridad Almaraz,42,Vieja Australia,P490,Cetirizina,Antihistamínico,26/06/2024,2,114.28
C00144,Mtro. María Elena Laureano,19,San Esperanza de la Montaña,P142,Amoxicilina,Antibiótico,01/10/2024,2,184.34
C00145,Arcelia Vera Ledesma,40,San Santiago los bajos,P010,Magnesio,Suplemento,09/09/2024,4,101.84
C00146,Modesto Angélica Noriega,84,Vieja Angola,P193,Naproxeno,Analgésico,30/06/2024,5,17.45
C00147,Lic. Gerardo Ontiveros,41,Vieja Gambia,P379,Sitagliptina,Antidiabético,31/12/2024,5,117.29
C00148,Héctor Alta  Gracia Casanova Tijerina,63,Vieja República de Corea,P185,Pioglitazona,Antidiabético,07/12/2024,1,145.24
C00149,Ana Jimínez Olivares,58,San Ángel los altos,P028,Sitagliptina,Antidiabético,29/07/2024,2,86.95
C00150,Indira Noelia Orta Hinojosa,55,Vieja Tuvalu,P418,Vitamina D,Suplemento,04/04/2025,3,157.07
C00151,Dulce María Modesto Cotto Moya,54,San Nancy de la Montaña,P141,Amoxicilina,Antibiótico,29/11/2024,1,41.87
C00152,Felix Navarrete,20,San Cristal los altos,P093,Naproxeno,Analgésico,10/08/2024,2,94.17
C00153,Sr(a). Virginia Toledo,41,Nueva Islas Marshall,P025,Omeprazol,Antiácido,09/11/2024,4,32.34
C00154,Cristal Leyva,39,Nueva Reino Unido de Gran Bretaña e Irlanda del Norte,P053,Fexofenadina,Antihistamínico,27/10/2024,2,73.6
C00155,Mtro. Héctor Gracia,55,Nueva Sierra Leona,P163,Fexofenadina,Antihistamínico,30/05/2025,2,67.28
C00156,Dr. Socorro Pabón,32,Nueva Irán,P189,Diclofenaco,Analgésico,02/09/2024,3,87.5
C00157,Sr(a). Joaquín Gamez,56,San María Elena de la Montaña,P246,Cetirizina,Antihistamínico,12/12/2024,4,196.58
C00158,Ana Zayas Delgadillo,74,Vieja Etiopía,P319,Magnesio,Suplemento,07/08/2024,1,26.87
C00159,Sr(a). Carolina Mares,41,San Cristian los bajos,P488,Naproxeno,Analgésico,02/05/2025,4,55.77
C00160,Ramón Vargas Noriega,79,Vieja Camboya,P032,Diclofenaco,Analgésico,30/01/2025,5,129.46
C00161,Santiago René del Valle,57,Nueva Guinea Bissau,P149,Desloratadina,Antihistamínico,07/05/2025,1,107.21
C00162,Ing. Teodoro Lovato,34,San Reynaldo los altos,P230,Vitamina D,Suplemento,29/01/2025,2,69.74
C00163,Eloy Mercado Verduzco,47,Vieja Costa Rica,P200,Azitromicina,Antibiótico,10/10/2024,1,146.03
C00164,Mauricio Ariadna Bueno,29,Nueva Malasia,P298,Cefalexina,Antibiótico,15/08/2024,2,148.98
C00165,Esteban Luisa Sauceda Casárez,47,San Marisela los altos,P092,Pioglitazona,Antidiabético,27/08/2024,4,125.02
C00166,Ivonne Alonso López,32,Nueva Argentina,P379,Glibenclamida,Antidiabético,08/12/2024,1,142.02
C00167,Eloisa Dalia Barajas Vela,67,San Jorge los bajos,P441,Sitagliptina,Antidiabético,31/08/2024,3,155.35
C00168,Estela Lomeli Paredes,45,Vieja Benin,P153,Cefalexina,Antibiótico,12/10/2024,2,194.11
C00169,Teresa Gonzalo Yáñez Vallejo,35,San Leonel de la Montaña,P154,Lansoprazol,Antiácido,04/06/2025,1,138.9
C00170,Eva Héctor Cabán,22,Nueva ex República Yugoslava de Macedonia,P067,Cefalexina,Antibiótico,30/03/2025,2,196.73
C00171,Indira Moreno,66,Nueva ex República Yugoslava de Macedonia,P202,Omeprazol,Antiácido,22/04/2025,2,37.12
C00172,Eugenia Octavio Montero,44,San Adalberto de la Montaña,P257,Azitromicina,Antibiótico,23/02/2025,4,154.06
C00173,Lic. Jacinto Otero,45,Vieja República Dominicana,P147,Loratadina,Antihistamínico,23/10/2024,2,133.89
C00174,Ariadna Esparta Burgos,85,Nueva Honduras,P439,Cetirizina,Antihistamínico,08/07/2024,1,117.83
C00175,Luisa Niño,76,Nueva Argelia,P499,Glibenclamida,Antidiabético,15/04/2025,2,34.38
C00176,Patricio Abigail Avilés,44,Nueva Dominicana,P237,Ranitidina,Antiácido,11/01/2025,5,102
C00177,Luisa Mónica Guajardo,64,San María José los altos,P163,Desloratadina,Antihistamínico,28/11/2024,2,59.49
C00178,Andrés María José Cepeda Olivera,55,San Natalia los bajos,P433,Omeprazol,Antiácido,24/09/2024,4,194.92
C00179,Nadia Rael Miramontes,42,Vieja Portugal,P320,Sitagliptina,Antidiabético,27/07/2024,5,197.3
C00180,Lic. Ofelia Rolón,60,San Gerardo de la Montaña,P052,Ranitidina,Antiácido,19/04/2025,5,102.34
C00181,Lucía Cristina Rincón,25,Nueva Guinea Ecuatorial,P432,Diclofenaco,Analgésico,15/05/2025,1,199.62
C00182,Wendolin Lozano,78,San Samuel los altos,P401,Fexofenadina,Antihistamínico,15/05/2025,2,159.21
C00183,René Rojas Cabrera,77,San Isabela los altos,P469,Magnesio,Suplemento,02/10/2024,2,83.15
C00184,Dr. Berta Olivares,38,Vieja Andorra,P212,Metformina,Antidiabético,01/07/2024,1,107.38
C00185,Lic. Eloisa Malave,83,San Conchita los altos,P479,Fexofenadina,Antihistamínico,20/01/2025,3,148.18
C00186,Sr(a). Darío Munguía,29,San Miguel los altos,P303,Ranitidina,Antiácido,23/11/2024,5,145.89
C00187,Lic. Ignacio Colunga,84,Nueva Samoa,P210,Ranitidina,Antiácido,07/12/2024,5,98.14
C00188,Beatriz Perla Zúñiga,43,San Aida los altos,P118,Loratadina,Antihistamínico,28/04/2025,1,127.2
C00189,Alicia Jaimes Gollum,49,San Esteban de la Montaña,P164,Paracetamol,Analgésico,27/03/2025,1,28.24
C00190,Luis Enríquez,78,Nueva Jordania,P166,Omeprazol,Antiácido,12/04/2025,2,21.27
C00191,Mtro. Helena Casárez,18,Vieja Afganistán,P345,Ranitidina,Antiácido,20/02/2025,4,150.12
C00192,Gabino Pamela Altamirano Quintero,72,San Benito los bajos,P324,Glibenclamida,Antidiabético,28/03/2025,5,180.35
C00193,Teresa Berta Meza Ávalos,38,San Óscar de la Montaña,P434,Lansoprazol,Antiácido,07/10/2024,5,170.91
C00194,Eloy de la Torre,52,Vieja Brunei Darussalam,P297,Fexofenadina,Antihistamínico,08/08/2024,1,105.15
C00195,Mateo Santacruz,51,Vieja Sierra Leona,P080,Diclofenaco,Analgésico,28/05/2025,3,128
C00196,Sonia Arcelia Carrillo Rael,36,Vieja Arabia Saudita,P031,Glibenclamida,Antidiabético,20/05/2025,2,145.27
C00197,Magdalena Rosales Ramos,29,San Jonás de la Montaña,P300,Ciprofloxacino,Antibiótico,30/03/2025,3,187.47
C00198,Omar Amaya Madrid,88,San Eloy los altos,P389,Glibenclamida,Antidiabético,28/09/2024,3,169.9
C00199,Jorge Cecilia Armendáriz,23,Vieja Rwanda,P175,Amoxicilina,Antibiótico,23/07/2024,1,142
C00200,Karina Araceli Rivero Páez,56,Vieja Gambia,P023,Pantoprazol,Antiácido,24/03/2025,1,46.75
C00201,Porfirio Galindo,19,Vieja Mongolia,P167,Loratadina,Antihistamínico,22/06/2024,4,198.24
C00202,Federico Bravo,38,Nueva Suiza,P415,Pantoprazol,Antiácido,10/07/2024,1,182.29
C00203,Pedro Ayala Arias,30,San Irma los altos,P272,Fexofenadina,Antihistamínico,06/05/2025,5,106.43
C00204,Reina Ocasio Caraballo,52,Nueva Cuba,P276,Ibuprofeno,Analgésico,28/02/2025,4,137.28
C00205,Irma Eugenia Garibay Lerma,79,San Alfredo los bajos,P151,Pioglitazona,Antidiabético,09/08/2024,3,108.61
C00206,Aldo Aguilar Almonte,24,San María José los bajos,P377,Cetirizina,Antihistamínico,02/11/2024,1,62.58
C00207,Iván Nicolás Valenzuela Barela,31,San Violeta los bajos,P098,Vitamina D,Suplemento,31/08/2024,4,108.96
C00208,Abril Lilia de la Fuente,84,San Ana de la Montaña,P276,Sitagliptina,Antidiabético,26/07/2024,4,60.42
C00209,Yolanda Espinoza Mejía,53,San Teresa los bajos,P058,Cefalexina,Antibiótico,28/07/2024,5,66.56
C00210,Sr(a). Karina Gálvez,37,Vieja Israel,P083,Omeprazol,Antiácido,15/08/2024,5,82.07
C00211,Silvia Delgado Menéndez,82,Vieja Bhután,P174,Diclofenaco,Analgésico,11/06/2024,3,10.61
C00212,Andrea Cornejo Olivas,63,Nueva Madagascar,P178,Ibuprofeno,Analgésico,31/03/2025,4,51.57
C00213,Armando Jos Luna Esparza,89,San Omar los bajos,P060,Vitamina C,Suplemento,19/03/2025,5,28.73
C00214,Silvano Garza,58,Vieja Marruecos,P242,Sitagliptina,Antidiabético,20/09/2024,4,83.14
C00215,Alta  Gracia Guillen Mendoza,78,Vieja México,P277,Vitamina C,Suplemento,09/06/2024,3,128.22
C00216,Ignacio Nevárez,71,Vieja República Árabe Siria,P096,Naproxeno,Analgésico,28/12/2024,4,39.6
C00217,Salvador Gaytán,81,San Rubén los bajos,P487,Calcio,Suplemento,02/04/2025,5,85.61
C00218,Luis Miguel Serafín Ceja Menéndez,50,Vieja Estonia,P029,Amoxicilina,Antibiótico,24/08/2024,5,101.92
C00219,Pablo Quintana,32,Vieja Túnez,P415,Vitamina D,Suplemento,07/07/2024,3,179.86
C00220,Leonardo Jorge Luis Concepción Berríos,53,San Vicente de la Montaña,P363,Vitamina D,Suplemento,29/12/2024,4,25.85
C00221,Lucía Ana Luisa Ávila Solorzano,56,San Catalina los altos,P168,Omeprazol,Antiácido,22/01/2025,5,113.63
C00222,Vicente Zaragoza,38,San Bernabé los altos,P171,Lansoprazol,Antiácido,09/11/2024,5,174.95
C00223,Hilda María Aguilar,70,San Esteban los altos,P328,Amoxicilina,Antibiótico,26/06/2024,2,82.17
C00224,Aldo Alvarado,70,Nueva Túnez,P307,Metformina,Antidiabético,15/04/2025,4,170.08
C00225,Ing. Abril Iglesias,76,San Darío los bajos,P446,Desloratadina,Antihistamínico,05/06/2024,1,115.55
C00226,Beatriz Adela Valladares Gaona,18,San Dalia los altos,P326,Vitamina D,Suplemento,17/05/2025,4,94.03
C00227,Isabel Bañuelos Benavides,23,San Caridad los bajos,P498,Ciprofloxacino,Antibiótico,30/04/2025,4,168.81
C00228,Abraham Carla Sandoval Aguirre,57,Vieja Kenya,P394,Amoxicilina,Antibiótico,31/01/2025,3,10.23
C00229,Ing. Ricardo Casillas,88,Vieja Uzbekistán,P420,Fexofenadina,Antihistamínico,26/08/2024,3,123.89
C00230,Gabriel Cristal Rocha,57,Nueva Japón,P154,Omeprazol,Antiácido,07/12/2024,4,148
